Sample,pop1,pop2,pop3,pop4,pop5,pop6,pop7,pop8,pop9,pop10,Assigned_Pop
magnumx21267m,0.999909,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1.1e-05,1e-05,1e-05,pop1
nuggeta,0.84449,1e-05,1.2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.155428,1e-05,pop1
nugget,0.81749,1e-05,1.2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.182428,1e-05,pop1
hallertauermagnum,0.741053,1e-05,1e-05,1e-05,0.258867,1e-05,1e-05,1e-05,1e-05,1e-05,pop1
horizon,0.615766,1e-05,0.195484,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.18868,pop1
newport,0.448557,1e-05,1e-05,1e-05,1e-05,0.068129,1e-05,0.147279,0.335974,1e-05,pop1
nadwislanka,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,pop10
osvald72yvf,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,pop10
saazer38,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,pop10
tettnanger,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99991,pop10
backa,1e-05,1e-05,1e-05,1e-05,1e-05,0.048298,1e-05,1e-05,0.240324,0.711308,pop10
bianca,0.078238,1e-05,1e-05,0.229729,1e-05,1e-05,1e-05,1e-05,1e-05,0.691963,pop10
sterling,1e-05,1e-05,1e-05,1e-05,0.188285,0.124865,1e-05,1e-05,1e-05,0.68678,pop10
sunbeam,0.027394,1e-05,0.003512,0.376682,1e-05,1e-05,1e-05,1e-05,1e-05,0.592352,pop10
omega,1.7e-05,1e-05,1.2e-05,1e-05,0.47742,0.010628,1e-05,1e-05,0.031152,0.480731,pop10
southernbrewer,1e-05,0.162007,1e-05,1e-05,0.121156,0.167432,0.106107,1e-05,1e-05,0.443247,pop10
mtrainier,1e-05,1e-05,0.198647,0.101906,0.052795,0.158148,1e-05,0.144039,1e-05,0.344425,pop10
brewersgolda,1e-05,0.99991,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,pop2
