Sample,pop1,pop2,Assigned_Pop
nadwislanka,0.99999,1e-05,pop1
spalterselect,0.99999,1e-05,pop1
hersbruckerpure,0.99999,1e-05,pop1
alliance,0.99999,1e-05,pop1
neoplanta,0.99999,1e-05,pop1
northernbrewer,0.99999,1e-05,pop1
omega,0.99999,1e-05,pop1
orion,0.99999,1e-05,pop1
osvald72yvf,0.99999,1e-05,pop1
perle,0.99999,1e-05,pop1
saazer38,0.99999,1e-05,pop1
savinjagolding,0.99999,1e-05,pop1
sterling,0.99999,1e-05,pop1
hersbruckerredstem,0.99999,1e-05,pop1
styrian,0.99999,1e-05,pop1
sunshine,0.99999,1e-05,pop1
tardifdbourgogne,0.99999,1e-05,pop1
tettnanger,0.99999,1e-05,pop1
tolhurst,0.99999,1e-05,pop1
vojvodina,0.99999,1e-05,pop1
whitbredsgolding,0.99999,1e-05,pop1
wuerttemberger,0.99999,1e-05,pop1
wyechallenger,0.99999,1e-05,pop1
wyeviking,0.99999,1e-05,pop1
hersbruckeralpha,0.99999,1e-05,pop1
yuggolding,0.99999,1e-05,pop1
hersbrucker6,0.99999,1e-05,pop1
eastkentgolding,0.99999,1e-05,pop1
earlypromise,0.99999,1e-05,pop1
eastwellgolding,0.99999,1e-05,pop1
earlyprolific,0.99999,1e-05,pop1
englishint30,0.99999,1e-05,pop1
fuggleh,0.99999,1e-05,pop1
fugglen,0.99999,1e-05,pop1
canterburygolding,0.99999,1e-05,pop1
buket,0.99999,1e-05,pop1
bramlingcross,0.99999,1e-05,pop1
hallertauergold,0.99999,1e-05,pop1
bobek,0.99999,1e-05,pop1
hallertauertradition,0.99999,1e-05,pop1
backa,0.99999,1e-05,pop1
aurora,0.99999,1e-05,pop1
hersbruckg,0.99999,1e-05,pop1
hersbrucker,0.99999,1e-05,pop1
wyesaxon,0.878464,0.121536,pop1
yeoman,0.859138,0.140862,pop1
keyworthearly,0.857795,0.142205,pop1
bianca,0.831854,0.168146,pop1
scarlet,0.827969,0.172031,pop1
mtrainier,0.760031,0.239969,pop1
southernbrewer,0.743365,0.256635,pop1
sunbeam,0.695241,0.304759,pop1
newport,0.67759,0.32241,pop1
nugget,0.676937,0.323063,pop1
nuggeta,0.673754,0.326246,pop1
apolon,0.65068,0.34932,pop1
horizon,0.646467,0.353533,pop1
sorachiace,0.644263,0.355737,pop1
furanoace,0.630322,0.369678,pop1
hallertauermagnum,0.617918,0.382082,pop1
easterngreen,0.614496,0.385504,pop1
kitamidori,0.592094,0.407906,pop1
ahil,0.58238,0.41762,pop1
wyetargeta,0.525622,0.474378,pop1
hybrid2,0.522093,0.477907,pop1
wyetarget,0.517859,0.482141,pop1
easterngold,0.51499,0.48501,pop1
prideofringwood,0.510979,0.489021,pop1
galena,1e-05,0.99999,pop2
brewersgolda,1e-05,0.99999,pop2
tc8551,1e-05,0.99999,pop2
talisman,1e-05,0.99999,pop2
chelan,1e-05,0.99999,pop2
olympic,1e-05,0.99999,pop2
brewersgold,0.002445,0.997555,pop2
bullion10a,0.031199,0.968801,pop2
banner,0.035958,0.964042,pop2
eroicavf,0.059904,0.940096,pop2
tc8555,0.155048,0.844952,pop2
aquila,0.177382,0.822618,pop2
kirinii,0.18197,0.81803,pop2
cometa,0.200946,0.799054,pop2
shinshuwase,0.219328,0.780672,pop2
comet,0.219493,0.780507,pop2
atlas,0.261,0.739,pop2
chinook,0.287255,0.712745,pop2
canadianredvine,0.296861,0.703139,pop2
centennial,0.319976,0.680024,pop2
toyomidori,0.320489,0.679511,pop2
teamaker,0.361909,0.638091,pop2
magnumx21267m,0.371295,0.628705,pop2
pioneer,0.38315,0.61685,pop2
keyworthmidseason,0.393266,0.606734,pop2
kirinc601,0.423113,0.576887,pop2
usda21734,0.423912,0.576088,pop2
cascade,0.448127,0.551873,pop2
prideofkent,0.46426,0.53574,pop2
firstchoice,0.496213,0.503787,pop2
