Sample,pop1,pop2,pop3,assignment
hallertauergold,0.99998,1e-05,1e-05,pop1
tettnanger,0.99998,1e-05,1e-05,pop1
saazer38,0.99998,1e-05,1e-05,pop1
osvald72yvf,0.99998,1e-05,1e-05,pop1
nadwislanka,0.99998,1e-05,1e-05,pop1
wyechallenger,0.923353,1e-05,0.076637,pop1
sterling,0.890609,1e-05,0.109381,pop1
bianca,0.844045,0.155945,1e-05,pop1
omega,0.843916,1e-05,0.156074,pop1
backa,0.730732,1e-05,0.269258,pop1
hallertauertradition,0.724916,1e-05,0.275074,pop1
sunbeam,0.710296,0.289694,1e-05,pop1
hersbruckerpure,0.638164,1e-05,0.361826,pop1
horizon,0.603057,0.337667,0.059276,pop1
wyeviking,0.565119,1e-05,0.434871,pop1
spalterselect,0.561657,1e-05,0.438333,pop1
orion,0.549786,1e-05,0.450204,pop1
southernbrewer,0.515649,0.250103,0.234248,pop1
mtrainier,0.499377,0.221646,0.278977,pop1
hallertauermagnum,0.489211,0.371111,0.139677,pop1
nugget,0.428797,0.298669,0.272534,pop1
nuggeta,0.42674,0.301793,0.271466,pop1
chelan,1e-05,0.99998,1e-05,pop2
galena,1e-05,0.988808,0.011182,pop2
talisman,1e-05,0.971452,0.028538,pop2
tc8551,1e-05,0.930539,0.069451,pop2
olympic,1e-05,0.920058,0.079932,pop2
brewersgolda,1e-05,0.904124,0.095866,pop2
brewersgold,1e-05,0.900149,0.099841,pop2
banner,1e-05,0.869602,0.130388,pop2
bullion10a,1e-05,0.86223,0.13776,pop2
eroicavf,1e-05,0.849828,0.150162,pop2
tc8555,0.19492,0.80507,1e-05,pop2
aquila,1e-05,0.756395,0.243595,pop2
cometa,1e-05,0.743281,0.256709,pop2
kirinii,1e-05,0.728768,0.271222,pop2
comet,1e-05,0.726052,0.273938,pop2
shinshuwase,1e-05,0.702234,0.297756,pop2
atlas,1e-05,0.681357,0.318633,pop2
canadianredvine,0.351627,0.648363,1e-05,pop2
chinook,1e-05,0.64194,0.35805,pop2
toyomidori,0.366566,0.633424,1e-05,pop2
centennial,1e-05,0.625411,0.374579,pop2
magnumx21267m,0.393035,0.606955,1e-05,pop2
teamaker,1e-05,0.589904,0.410086,pop2
pioneer,0.218028,0.578874,0.203098,pop2
keyworthmidseason,0.213095,0.574769,0.212136,pop2
kirinc601,0.070031,0.538732,0.391238,pop2
usda21734,1e-05,0.528988,0.471002,pop2
cascade,0.130226,0.513974,0.3558,pop2
prideofkent,0.07886,0.497993,0.423147,pop2
easterngold,0.290488,0.460979,0.248533,pop2
wyetarget,0.287735,0.442563,0.269702,pop2
wyetargeta,0.284848,0.43456,0.280592,pop2
furanoace,0.323533,0.348202,0.328265,pop2
hersbruckeralpha,1e-05,1e-05,0.99998,pop3
eastwellgolding,1e-05,1e-05,0.99998,pop3
wuerttemberger,1e-05,1e-05,0.99998,pop3
tardifdbourgogne,1e-05,1e-05,0.99998,pop3
styrian,1e-05,1e-05,0.99998,pop3
savinjagolding,1e-05,1e-05,0.99998,pop3
hersbruckerredstem,1e-05,1e-05,0.99998,pop3
hersbrucker6,1e-05,1e-05,0.99998,pop3
hersbrucker,1e-05,1e-05,0.99998,pop3
hersbruckg,1e-05,1e-05,0.99998,pop3
fugglen,1e-05,1e-05,0.99998,pop3
yuggolding,1e-05,1e-05,0.99998,pop3
eastkentgolding,1e-05,1e-05,0.99998,pop3
earlypromise,1e-05,1e-05,0.99998,pop3
canterburygolding,1e-05,1e-05,0.99998,pop3
bramlingcross,1e-05,1e-05,0.99998,pop3
fuggleh,1.8e-05,1e-05,0.999972,pop3
tolhurst,0.091409,1e-05,0.908581,pop3
englishint30,0.140142,1e-05,0.859848,pop3
whitbredsgolding,0.14513,1e-05,0.85486,pop3
sunshine,0.145903,1e-05,0.854087,pop3
earlyprolific,0.176133,1e-05,0.823857,pop3
alliance,0.17734,1e-05,0.82265,pop3
buket,0.339792,1e-05,0.660198,pop3
aurora,0.355649,1e-05,0.644341,pop3
northernbrewer,0.358484,1e-05,0.641506,pop3
vojvodina,0.360161,1e-05,0.639829,pop3
kitamidori,1e-05,0.371988,0.628002,pop3
neoplanta,0.377826,1e-05,0.622164,pop3
ahil,1e-05,0.397619,0.602371,pop3
bobek,0.400405,1e-05,0.599585,pop3
apolon,0.080621,0.333641,0.585738,pop3
keyworthearly,0.300968,0.132928,0.566104,pop3
hybrid2,1e-05,0.434165,0.565825,pop3
prideofringwood,1e-05,0.444305,0.555685,pop3
easterngreen,0.080474,0.367719,0.551807,pop3
yeoman,0.32809,0.13045,0.541461,pop3
firstchoice,1e-05,0.460367,0.539623,pop3
perle,0.478542,1e-05,0.521448,pop3
scarlet,0.374656,0.15605,0.469294,pop3
wyesaxon,0.428665,0.113325,0.458009,pop3
newport,0.262963,0.297364,0.439673,pop3
sorachiace,0.274531,0.3312,0.394269,pop3
