Sample,pop1,pop2,pop3,pop4
yuggolding,1e-05,1e-05,0.99997,1e-05
wuerttemberger,1e-05,1e-05,0.99997,1e-05
tardifdbourgogne,1e-05,1e-05,0.99997,1e-05
styrian,1e-05,1e-05,0.99997,1e-05
savinjagolding,1e-05,1e-05,0.99997,1e-05
hersbruckeralpha,1e-05,1e-05,0.99997,1e-05
hersbruckerredstem,1e-05,1e-05,0.99997,1e-05
hersbrucker6,1e-05,1e-05,0.99997,1e-05
hersbrucker,1e-05,1e-05,0.99997,1e-05
hersbruckg,1e-05,1e-05,0.99997,1e-05
fugglen,1e-05,1e-05,0.99997,1e-05
fuggleh,1e-05,1e-05,0.99997,1e-05
eastwellgolding,1e-05,1e-05,0.99997,1e-05
eastkentgolding,1e-05,1e-05,0.99997,1e-05
earlypromise,1e-05,1e-05,0.99997,1e-05
bramlingcross,1e-05,1e-05,0.99997,1e-05
canterburygolding,1e-05,1e-05,0.99997,1e-05
alliance,0.199824,1e-05,0.800156,1e-05
earlyprolific,0.167385,1e-05,0.832595,1e-05
tolhurst,0.099935,1e-05,0.900045,1e-05
whitbredsgolding,0.148633,1e-05,0.851347,1e-05
englishint30,0.130059,1e-05,0.869921,1e-05
sunshine,0.135444,1e-05,0.864536,1e-05
orion,0.501326,1e-05,0.498654,1e-05
spalterselect,0.525478,1.7e-05,0.474495,1e-05
hersbruckerpure,0.589923,1e-05,0.410057,1e-05
wyeviking,0.555789,1e-05,0.444191,1e-05
perle,0.426062,1e-05,0.573918,1e-05
wyesaxon,0.433599,1e-05,0.462656,0.103734
bobek,0.349891,1e-05,0.650089,1e-05
northernbrewer,0.283483,1e-05,0.716497,1e-05
buket,0.31168,1e-05,0.6883,1e-05
neoplanta,0.311089,1e-05,0.688891,1e-05
aurora,0.316806,1e-05,0.683174,1e-05
vojvodina,0.320801,1e-05,0.679179,1e-05
keyworthearly,0.096945,0.233354,0.669691,1e-05
scarlet,0.257736,0.238718,0.503536,1e-05
yeoman,0.227853,0.195364,0.576772,1e-05
osvald72yvf,0.999963,1e-05,1.7e-05,1e-05
tettnanger,0.99997,1e-05,1e-05,1e-05
nadwislanka,0.99997,1e-05,1e-05,1e-05
saazer38,0.99997,1e-05,1e-05,1e-05
hallertauergold,0.928865,1e-05,0.071115,1e-05
sterling,0.90886,1e-05,0.09112,1e-05
wyechallenger,0.900802,1e-05,0.099178,1e-05
hallertauertradition,0.658958,1e-05,0.341022,1e-05
backa,0.743399,1e-05,0.256581,1e-05
omega,0.81572,1e-05,0.18426,1e-05
bianca,0.795448,0.204532,1e-05,1e-05
sunbeam,0.64652,0.35346,1e-05,1e-05
newport,0.159085,0.42157,0.419335,1e-05
nugget,0.20652,0.477843,0.315627,1e-05
nuggeta,0.201417,0.485648,0.312925,1e-05
teamaker,1e-05,0.73955,0.26043,1e-05
cascade,0.061229,0.6178,0.32096,1e-05
usda21734,1e-05,0.676197,0.323783,1e-05
easterngreen,1e-05,0.492216,0.507764,1e-05
kitamidori,1e-05,0.467948,0.532032,1e-05
kirinc601,1e-05,0.517217,0.35332,0.129453
wyetarget,1e-05,0.613599,0.386381,1e-05
wyetargeta,1e-05,0.600113,0.399867,1e-05
hybrid2,1e-05,0.581895,0.418085,1e-05
prideofringwood,1e-05,0.565645,0.434335,1e-05
mtrainier,0.456995,0.295417,0.247578,1e-05
easterngold,0.208133,0.636298,0.155559,1e-05
hallertauermagnum,0.330245,0.541701,0.128044,1e-05
horizon,0.448827,0.511,0.040163,1e-05
magnumx21267m,0.187569,0.812411,1e-05,1e-05
toyomidori,0.02816,0.839313,0.132516,1e-05
tc8551,1e-05,0.723161,1e-05,0.276819
tc8555,0.109607,0.525792,1e-05,0.364591
talisman,1e-05,1e-05,1e-05,0.99997
olympic,1e-05,0.047612,0.084301,0.868077
brewersgold,1e-05,1e-05,0.1014,0.89858
brewersgolda,1e-05,1e-05,0.088732,0.911248
chelan,1e-05,0.319033,1e-05,0.680947
galena,1e-05,0.254524,1e-05,0.745456
eroicavf,1e-05,0.181926,0.127636,0.690427
banner,1e-05,0.079825,0.128977,0.791188
bullion10a,1e-05,0.083726,0.127713,0.788551
canadianredvine,0.326342,0.147494,1e-05,0.526153
keyworthmidseason,0.233856,0.128965,0.176358,0.460821
southernbrewer,0.534608,1e-05,0.216157,0.249225
furanoace,0.347015,1e-05,0.305712,0.347263
sorachiace,0.306338,1e-05,0.374512,0.319139
kirinii,1e-05,0.094433,0.269847,0.63571
atlas,1e-05,0.135552,0.30843,0.556008
shinshuwase,1e-05,0.11556,0.288994,0.595436
aquila,1e-05,1e-05,0.256147,0.743833
centennial,1e-05,1e-05,0.382455,0.617525
pioneer,0.098463,0.351856,0.240484,0.309197
comet,1e-05,0.332721,0.215329,0.45194
cometa,1e-05,0.371281,0.192455,0.436254
chinook,1e-05,0.214587,0.330722,0.454681
prideofkent,0.083909,0.098479,0.413543,0.404068
firstchoice,1.5e-05,1e-05,0.546371,0.453604
ahil,1e-05,0.139306,0.586359,0.274325
apolon,0.068289,0.102258,0.585657,0.243796
