Sample,pop1,pop2,pop3,pop4,pop5
yuggolding,0.99996,1e-05,1e-05,1e-05,1e-05
wuerttemberger,0.99996,1e-05,1e-05,1e-05,1e-05
tardifdbourgogne,0.99996,1e-05,1e-05,1e-05,1e-05
styrian,0.99996,1e-05,1e-05,1e-05,1e-05
savinjagolding,0.99996,1e-05,1e-05,1e-05,1e-05
hersbruckeralpha,0.99996,1e-05,1e-05,1e-05,1e-05
hersbruckerredstem,0.99996,1e-05,1e-05,1e-05,1e-05
hersbrucker6,0.99996,1e-05,1e-05,1e-05,1e-05
hersbrucker,0.99996,1e-05,1e-05,1e-05,1e-05
hersbruckg,0.99996,1e-05,1e-05,1e-05,1e-05
fugglen,0.99996,1e-05,1e-05,1e-05,1e-05
fuggleh,0.99996,1e-05,1e-05,1e-05,1e-05
eastwellgolding,0.99996,1e-05,1e-05,1e-05,1e-05
eastkentgolding,0.99996,1e-05,1e-05,1e-05,1e-05
earlypromise,0.99996,1e-05,1e-05,1e-05,1e-05
bramlingcross,0.99996,1e-05,1e-05,1e-05,1e-05
canterburygolding,0.99996,1e-05,1e-05,1e-05,1e-05
hallertauertradition,0.366952,0.633018,1e-05,1e-05,1e-05
hersbruckerpure,0.426832,0.573138,1e-05,1e-05,1e-05
perle,0.596763,0.403207,1e-05,1e-05,1e-05
orion,0.521371,0.478598,1e-05,1.1e-05,1e-05
spalterselect,0.48865,0.51132,1e-05,1e-05,1e-05
wyeviking,0.470368,0.529602,1e-05,1e-05,1e-05
northernbrewer,0.77442,0.06614,1e-05,0.15942,1e-05
tolhurst,0.9034,0.09657,1e-05,1e-05,1e-05
englishint30,0.876326,0.123644,1e-05,1e-05,1e-05
sunshine,0.870721,0.129249,1e-05,1e-05,1e-05
alliance,0.803399,0.196571,1e-05,1e-05,1e-05
earlyprolific,0.836042,0.163928,1e-05,1e-05,1e-05
whitbredsgolding,0.853522,0.146448,1e-05,1e-05,1e-05
yeoman,0.55369,0.210414,0.123305,0.112581,1e-05
aurora,0.70474,0.29523,1e-05,1e-05,1e-05
buket,0.707255,0.285973,1e-05,0.006752,1e-05
bobek,0.665666,0.281969,1e-05,0.052345,1e-05
neoplanta,0.703588,0.237393,1e-05,0.058999,1e-05
vojvodina,0.697413,0.23915,1.1e-05,0.063416,1e-05
ahil,0.539199,1e-05,0.146887,0.107759,0.206146
apolon,0.582916,0.043002,0.215374,1e-05,0.158697
keyworthearly,0.635676,1e-05,1e-05,0.364294,1e-05
scarlet,0.444578,0.201182,1e-05,0.35422,1e-05
wyesaxon,0.399626,0.360045,1e-05,0.240309,1e-05
mtrainier,0.222746,0.44782,0.280456,0.048967,1e-05
bianca,1e-05,0.736119,1e-05,0.263851,1e-05
sunbeam,1e-05,0.595771,0.18953,0.214679,1e-05
saazer38,2e-05,0.99995,1e-05,1e-05,1e-05
tettnanger,1e-05,0.99996,1e-05,1e-05,1e-05
nadwislanka,1e-05,0.99996,1e-05,1e-05,1e-05
osvald72yvf,1e-05,0.99996,1e-05,1e-05,1e-05
