Sample,pop1,pop2,pop3,pop4,pop5,pop6,Assigned_Pop
talisman,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,pop1
brewersgolda,0.871467,1e-05,0.128493,1e-05,1e-05,1e-05,pop1
olympic,0.850666,0.020826,0.095743,1e-05,0.010786,0.021969,pop1
brewersgold,0.849443,1e-05,0.150517,1e-05,1e-05,1e-05,pop1
banner,0.735088,0.204063,0.049001,1e-05,1e-05,0.011828,pop1
eroicavf,0.70231,0.106573,0.148859,1e-05,0.042238,1e-05,pop1
chelan,0.700542,0.299418,1e-05,1e-05,1e-05,1e-05,pop1
bullion10a,0.674082,1e-05,0.061067,1e-05,0.199444,0.065386,pop1
galena,0.670594,0.329366,1e-05,1e-05,1e-05,1e-05,pop1
aquila,0.642987,1e-05,1e-05,1e-05,0.092382,0.264601,pop1
centennial,0.5846,1e-05,0.209544,1e-05,1e-05,0.205826,pop1
kirinii,0.538514,1e-05,1e-05,1e-05,0.181346,0.280109,pop1
atlas,0.529392,0.203144,1e-05,1e-05,1e-05,0.267434,pop1
shinshuwase,0.491635,1e-05,1e-05,1e-05,0.211422,0.296913,pop1
canadianredvine,0.418911,1e-05,1e-05,0.287545,0.293514,1e-05,pop1
chinook,0.403422,0.011999,0.153293,1e-05,0.208991,0.222285,pop1
keyworthmidseason,0.321028,1e-05,1e-05,0.190369,0.288992,0.199591,pop1
hybrid2,1e-05,0.831266,1e-05,1e-05,1e-05,0.168694,pop2
nuggeta,1e-05,0.820979,0.176761,1e-05,1e-05,0.002231,pop2
nugget,1e-05,0.794803,0.205157,1e-05,1e-05,1e-05,pop2
magnumx21267m,1e-05,0.787599,1e-05,1e-05,0.212361,1e-05,pop2
horizon,1e-05,0.77502,1e-05,0.22494,1e-05,1e-05,pop2
hallertauermagnum,1e-05,0.764394,0.235566,1e-05,1e-05,1e-05,pop2
prideofringwood,1e-05,0.747588,1e-05,1e-05,1e-05,0.252372,pop2
tc8551,0.304814,0.451686,1e-05,1e-05,0.24347,1e-05,pop2
tc8555,0.367306,0.448241,1e-05,0.047742,0.136692,1e-05,pop2
easterngreen,1e-05,0.39956,0.091236,1e-05,0.167511,0.341672,pop2
northernbrewer,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,pop3
perle,1e-05,1e-05,0.832277,0.105934,1e-05,0.061759,pop3
keyworthearly,1e-05,0.168545,0.831415,1e-05,1e-05,1e-05,pop3
bobek,1e-05,1e-05,0.752285,1e-05,1e-05,0.247675,pop3
orion,1e-05,1e-05,0.74192,0.19124,1e-05,0.066811,pop3
neoplanta,1e-05,1e-05,0.726929,1e-05,1e-05,0.273031,pop3
hallertauertradition,1e-05,1e-05,0.717851,0.282109,1e-05,1e-05,pop3
scarlet,1e-05,1e-05,0.700555,0.095129,0.162488,0.041808,pop3
hersbruckerpure,1e-05,1e-05,0.681116,0.318844,1e-05,1e-05,pop3
vojvodina,1e-05,1e-05,0.656935,1e-05,1e-05,0.343025,pop3
buket,1e-05,1e-05,0.615007,1e-05,1e-05,0.384953,pop3
aurora,1e-05,1e-05,0.599435,1e-05,1e-05,0.400525,pop3
wyetargeta,1e-05,1e-05,0.594165,1e-05,0.405795,1e-05,pop3
wyetarget,1e-05,1e-05,0.583509,1e-05,0.416451,1e-05,pop3
pioneer,0.312359,1e-05,0.519126,1e-05,0.168485,1e-05,pop3
wyeviking,1e-05,1e-05,0.468212,0.27356,1e-05,0.258198,pop3
spalterselect,1e-05,1e-05,0.458981,0.373987,1e-05,0.167002,pop3
yeoman,1e-05,0.216399,0.449903,0.121242,1e-05,0.212436,pop3
wyesaxon,1e-05,1e-05,0.366504,0.233726,0.138954,0.260797,pop3
nadwislanka,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05,pop4
osvald72yvf,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05,pop4
saazer38,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05,pop4
tettnanger,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05,pop4
bianca,1e-05,1e-05,0.022184,0.768438,0.209348,1e-05,pop4
sterling,1e-05,1e-05,0.186331,0.745016,1e-05,0.068623,pop4
backa,1e-05,1e-05,1e-05,0.735011,1e-05,0.264949,pop4
sunbeam,1e-05,1e-05,1e-05,0.665807,0.334153,1e-05,pop4
omega,1e-05,1e-05,0.455362,0.544598,1e-05,1e-05,pop4
southernbrewer,0.258973,1e-05,1e-05,0.518159,1e-05,0.222838,pop4
hallertauergold,1.1e-05,1.7e-05,0.492131,0.507819,1.1e-05,1e-05,pop4
wyechallenger,1e-05,1e-05,0.495813,0.504147,1e-05,1e-05,pop4
mtrainier,1e-05,0.131273,0.038401,0.363603,0.199073,0.267641,pop4
teamaker,1e-05,1e-05,1e-05,1e-05,0.679369,0.320591,pop5
usda21734,1e-05,1e-05,1e-05,1e-05,0.613587,0.386373,pop5
kirinc601,1e-05,1e-05,0.415066,1e-05,0.583396,0.001508,pop5
cascade,1e-05,1e-05,1e-05,1e-05,0.565684,0.434276,pop5
toyomidori,1e-05,1e-05,0.451953,1e-05,0.548007,1e-05,pop5
cometa,0.288945,1e-05,0.220721,1e-05,0.489511,0.000803,pop5
comet,0.305285,1e-05,0.237697,1e-05,0.449881,0.007118,pop5
easterngold,1e-05,0.180755,0.19463,0.107866,0.417205,0.099534,pop5
hersbrucker,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,pop6
fuggleh,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,pop6
wuerttemberger,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,pop6
tardifdbourgogne,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,pop6
styrian,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,pop6
savinjagolding,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,pop6
hersbruckeralpha,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,pop6
hersbruckerredstem,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,pop6
hersbrucker6,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,pop6
fugglen,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,pop6
yuggolding,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,pop6
hersbruckg,1e-05,1e-05,1e-05,1.2e-05,1e-05,0.999948,pop6
tolhurst,1e-05,1e-05,0.098806,0.096008,1e-05,0.805156,pop6
alliance,1e-05,1e-05,1e-05,0.210637,1e-05,0.789323,pop6
earlypromise,1e-05,1e-05,0.21622,1e-05,1e-05,0.78374,pop6
whitbredsgolding,1e-05,1e-05,0.119551,0.159665,1e-05,0.720754,pop6
bramlingcross,1e-05,1e-05,0.372043,1.8e-05,1e-05,0.627909,pop6
canterburygolding,1e-05,1e-05,0.372536,1e-05,1e-05,0.627424,pop6
eastkentgolding,1e-05,1e-05,0.37727,1e-05,1e-05,0.62269,pop6
eastwellgolding,1e-05,1e-05,0.3848,1e-05,1e-05,0.61516,pop6
earlyprolific,1e-05,1e-05,0.271524,0.133121,1e-05,0.595325,pop6
firstchoice,0.439425,1.2e-05,1.4e-05,1e-05,1e-05,0.560529,pop6
sunshine,1e-05,1e-05,0.389835,0.091164,1e-05,0.518972,pop6
englishint30,1e-05,1e-05,0.444241,0.08639,1e-05,0.469339,pop6
kitamidori,1e-05,0.198259,0.093236,1e-05,0.297275,0.41121,pop6
sorachiace,0.310985,0.016656,0.083294,0.201674,1e-05,0.387381,pop6
ahil,0.270048,0.145152,0.200165,1e-05,1e-05,0.384614,pop6
prideofkent,0.331456,0.28742,1e-05,1e-05,1e-05,0.381095,pop6
furanoace,0.359052,1e-05,1e-05,0.266812,1e-05,0.374106,pop6
newport,1e-05,0.342948,0.054517,0.05825,0.178986,0.365288,pop6
apolon,0.23611,0.09645,0.31436,1e-05,1e-05,0.35306,pop6
