Sample,pop1,pop2,pop3,pop4,pop5,pop6,pop7
yuggolding,1e-05,1e-05,1e-05,0.99994,1e-05,1e-05,1e-05
wuerttemberger,1e-05,1e-05,1e-05,0.99994,1e-05,1e-05,1e-05
styrian,1e-05,1e-05,1e-05,0.99994,1e-05,1e-05,1e-05
savinjagolding,1e-05,1e-05,1e-05,0.99994,1e-05,1e-05,1e-05
hersbruckeralpha,1e-05,1e-05,1e-05,0.99994,1e-05,1e-05,1e-05
hersbruckerredstem,1e-05,1e-05,1e-05,0.99994,1e-05,1e-05,1e-05
hersbrucker,1e-05,1e-05,1e-05,0.99994,1e-05,1e-05,1e-05
hersbruckg,1e-05,1e-05,1e-05,0.99994,1e-05,1e-05,1e-05
fugglen,1e-05,1e-05,1e-05,0.99994,1e-05,1e-05,1e-05
fuggleh,1e-05,1e-05,1e-05,0.99994,1e-05,1e-05,1e-05
eastwellgolding,1e-05,1e-05,1e-05,0.99994,1e-05,1e-05,1e-05
eastkentgolding,1e-05,1e-05,1e-05,0.99994,1e-05,1e-05,1e-05
earlypromise,1e-05,1e-05,1e-05,0.99994,1e-05,1e-05,1e-05
bramlingcross,1e-05,1e-05,1e-05,0.99994,1e-05,1e-05,1e-05
canterburygolding,1e-05,1e-05,1e-05,0.99994,1e-05,1e-05,1e-05
hersbrucker6,1e-05,1e-05,1e-05,0.999937,1e-05,1.3e-05,1e-05
tardifdbourgogne,1e-05,1e-05,1e-05,0.999938,1e-05,1.2e-05,1e-05
earlyprolific,1e-05,1e-05,1e-05,0.793047,0.127122,0.079791,1e-05
englishint30,1e-05,1e-05,1e-05,0.750622,0.088,0.161338,1e-05
sunshine,1e-05,1e-05,1e-05,0.755147,0.091549,0.153264,1e-05
tolhurst,1e-05,1e-05,1e-05,0.911812,0.088138,1e-05,1e-05
alliance,1e-05,1e-05,1e-05,0.795456,0.204494,1e-05,1e-05
whitbredsgolding,1e-05,1e-05,1e-05,0.848979,0.150971,1e-05,1e-05
furanoace,1e-05,0.433963,1e-05,0.294869,0.271128,1e-05,1e-05
sorachiace,1e-05,0.375569,1e-05,0.29699,0.160347,0.167064,1e-05
prideofkent,1e-05,0.426583,1e-05,0.317839,1e-05,0.101399,0.154149
ahil,0.012807,0.407796,1e-05,0.413014,1e-05,0.155122,0.011241
apolon,1e-05,0.356627,1e-05,0.373794,1e-05,0.247557,0.021992
olympic,1e-05,0.99994,1e-05,1e-05,1e-05,1e-05,1e-05
brewersgold,1e-05,0.99994,1e-05,1e-05,1e-05,1e-05,1e-05
brewersgolda,1e-05,0.99994,1e-05,1e-05,1e-05,1e-05,1e-05
atlas,1e-05,0.606862,1e-05,0.190356,1e-05,1e-05,0.202742
centennial,1e-05,0.741986,1e-05,0.193857,1e-05,0.064117,1e-05
eroicavf,0.084835,0.644217,0.161656,0.000738,1e-05,1e-05,0.108533
aquila,0.163904,0.730776,1e-05,0.10528,1e-05,1e-05,1e-05
bullion10a,0.162061,0.837889,1e-05,1e-05,1e-05,1e-05,1e-05
hallertauermagnum,1e-05,1e-05,1e-05,1e-05,1e-05,0.513792,0.486158
nugget,1e-05,1e-05,1e-05,0.058975,1e-05,0.467522,0.473463
nuggeta,1e-05,1e-05,1e-05,0.077471,1e-05,0.432008,0.490481
horizon,1e-05,1e-05,1e-05,1e-05,0.206852,0.253687,0.53942
magnumx21267m,1e-05,1e-05,1e-05,1e-05,0.068009,0.095339,0.836611
teamaker,1e-05,1e-05,1e-05,0.21015,1e-05,1e-05,0.7898
usda21734,1.3e-05,1e-05,1e-05,0.267392,1e-05,1e-05,0.732556
prideofringwood,1e-05,1e-05,1e-05,0.381141,1e-05,1e-05,0.618809
cascade,1e-05,0.037136,1e-05,0.310458,1e-05,1e-05,0.652366
hybrid2,1e-05,1e-05,1e-05,0.339312,1e-05,1e-05,0.660638
easterngreen,0.17753,1e-05,1e-05,0.389746,1e-05,0.073835,0.35886
kitamidori,0.000145,1e-05,1e-05,0.453908,1e-05,0.071362,0.474555
newport,1e-05,1e-05,1e-05,0.32433,0.021888,0.214276,0.439476
wyetarget,0.854793,1e-05,1e-05,0.145157,1e-05,1e-05,1e-05
wyetargeta,0.822143,1e-05,1e-05,0.177807,1e-05,1e-05,1e-05
kirinc601,0.959841,1e-05,1e-05,0.040109,1e-05,1e-05,1e-05
toyomidori,0.999936,1e-05,1e-05,1e-05,1e-05,1.4e-05,1e-05
