Sample,pop1,pop2,pop3,pop4,pop5,pop6,pop7,pop8
englishint30,1e-05,1e-05,0.057948,1e-05,0.941992,1e-05,1e-05,1e-05
sunshine,1e-05,1e-05,0.077359,1e-05,0.893677,1e-05,0.028915,1e-05
hersbrucker,1e-05,1e-05,1e-05,1e-05,0.954888,0.045052,1e-05,1e-05
hersbrucker6,1e-05,1e-05,1e-05,1e-05,0.984422,0.015518,1e-05,1e-05
tardifdbourgogne,1e-05,1e-05,1e-05,1e-05,0.995905,0.004035,1e-05,1e-05
hersbruckeralpha,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05
hersbruckg,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05
eastwellgolding,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05
eastkentgolding,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05
bramlingcross,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05
canterburygolding,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05
nadwislanka,1e-05,1e-05,0.999925,1e-05,1e-05,1.5e-05,1e-05,1e-05
osvald72yvf,1e-05,1e-05,0.999929,1e-05,1e-05,1.1e-05,1e-05,1e-05
saazer38,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05
tettnanger,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05
bianca,1e-05,0.280884,0.719056,1e-05,1e-05,1e-05,1e-05,1e-05
sunbeam,1e-05,0.381347,0.607137,0.011466,1e-05,1e-05,1e-05,1e-05
backa,1e-05,1e-05,0.714883,1e-05,0.215507,0.069561,1e-05,1e-05
sterling,1e-05,1e-05,0.684045,1e-05,1e-05,0.138231,0.177674,1e-05
omega,1e-05,1e-05,0.485151,1e-05,0.069429,1e-05,0.445369,1e-05
hallertauergold,1e-05,1e-05,0.384894,1e-05,1e-05,1e-05,0.615046,1e-05
wyechallenger,1e-05,1e-05,0.42047,1e-05,1e-05,1e-05,0.57947,1e-05
bobek,1e-05,1e-05,1e-05,1e-05,1e-05,0.30957,0.69037,1e-05
buket,1e-05,1e-05,1e-05,1e-05,1e-05,0.411014,0.588925,1e-05
neoplanta,1.8e-05,1e-05,1e-05,1e-05,0.35004,0.133776,0.516126,1e-05
aurora,1e-05,1e-05,1e-05,1e-05,0.218743,0.327502,0.453705,1e-05
vojvodina,1e-05,1.3e-05,1e-05,1e-05,0.212268,0.238934,0.548745,1e-05
