Sample,pop1,pop2,pop3,pop4,pop5,pop6,pop7,pop8,pop9,assignment
toyomidori,0.909629,1e-05,1e-05,1e-05,1e-05,1e-05,0.090301,1e-05,1e-05,pop1
wyetarget,0.662271,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.337659,pop1
wyetargeta,0.636402,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.363528,pop1
kirinc601,0.557423,0.151581,0.238534,1.1e-05,1e-05,1e-05,0.052411,1e-05,1e-05,pop1
cometa,0.49806,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.313236,0.188644,pop1
comet,0.450173,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.334326,0.215441,pop1
easterngold,0.401887,0.160832,0.062324,1e-05,0.018455,0.182268,0.174204,1e-05,1e-05,pop1
hersbruckg,1e-05,0.99992,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,pop2
hersbrucker,1e-05,0.99992,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,pop2
hersbrucker6,1e-05,0.99992,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,pop2
hersbruckeralpha,1e-05,0.99992,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,pop2
tardifdbourgogne,1e-05,0.99992,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,pop2
teamaker,1e-05,1e-05,0.99992,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,pop3
usda21734,1e-05,1e-05,0.99992,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,pop3
cascade,1e-05,1e-05,0.823001,0.176929,1e-05,1e-05,1e-05,1e-05,1e-05,pop3
kitamidori,1e-05,1e-05,0.411705,0.08551,1e-05,0.165359,0.027075,1e-05,0.310312,pop3
fuggleh,1e-05,1e-05,1e-05,0.99992,1e-05,1e-05,1e-05,1e-05,1e-05,pop4
fugglen,1e-05,1e-05,1e-05,0.99992,1e-05,1e-05,1e-05,1e-05,1e-05,pop4
hersbruckerredstem,1e-05,1e-05,1e-05,0.99992,1e-05,1e-05,1e-05,1e-05,1e-05,pop4
savinjagolding,1e-05,1e-05,1e-05,0.99992,1e-05,1e-05,1e-05,1e-05,1e-05,pop4
styrian,1e-05,1e-05,1e-05,0.99992,1e-05,1e-05,1e-05,1e-05,1e-05,pop4
wuerttemberger,1e-05,1e-05,1e-05,0.99992,1e-05,1e-05,1e-05,1e-05,1e-05,pop4
yuggolding,1e-05,1e-05,1e-05,0.99992,1e-05,1e-05,1e-05,1e-05,1e-05,pop4
firstchoice,1e-05,0.089697,1e-05,0.493624,1e-05,1e-05,1e-05,0.416619,1e-05,pop4
tolhurst,1e-05,0.211029,1e-05,0.476361,0.071749,1e-05,1e-05,1e-05,0.240811,pop4
alliance,1e-05,0.106772,1e-05,0.454084,0.183702,1e-05,1e-05,1e-05,0.255391,pop4
ahil,0.056028,1e-05,1e-05,0.444659,1e-05,0.151767,0.144869,0.202637,1e-05,pop4
apolon,1e-05,1e-05,0.06264,0.390801,1e-05,0.096498,0.276915,0.173106,1e-05,pop4
prideofkent,1e-05,1e-05,1e-05,0.390481,1e-05,0.226959,0.072809,0.309702,1e-05,pop4
furanoace,1e-05,1e-05,1e-05,0.388106,0.212266,1e-05,0.090102,0.309475,1e-05,pop4
sorachiace,1e-05,1e-05,1e-05,0.377376,0.093724,1e-05,0.256209,0.272641,1e-05,pop4
nadwislanka,1e-05,1e-05,1e-05,1e-05,0.99992,1e-05,1e-05,1e-05,1e-05,pop5
osvald72yvf,1e-05,1e-05,1e-05,1e-05,0.99992,1e-05,1e-05,1e-05,1e-05,pop5
saazer38,1e-05,1e-05,1e-05,1e-05,0.99992,1e-05,1e-05,1e-05,1e-05,pop5
tettnanger,1e-05,1e-05,1e-05,1e-05,0.99992,1e-05,1e-05,1e-05,1e-05,pop5
bianca,0.263719,1e-05,1e-05,1e-05,0.736211,1e-05,1e-05,1e-05,1e-05,pop5
backa,1e-05,0.167633,1e-05,0.068731,0.723769,1e-05,1e-05,1e-05,0.039817,pop5
sterling,1e-05,1.1e-05,1e-05,0.135807,0.685674,1e-05,0.178458,1e-05,1e-05,pop5
sunbeam,0.371516,1e-05,1e-05,1e-05,0.628414,1e-05,1e-05,1e-05,1e-05,pop5
omega,1e-05,1e-05,1e-05,0.001376,0.479048,1e-05,0.440272,1e-05,0.079255,pop5
southernbrewer,1e-05,0.002774,1e-05,0.19087,0.460813,1e-05,0.113978,0.231525,1e-05,pop5
mtrainier,0.098095,0.001869,0.189997,0.197321,0.3053,0.092367,0.11503,1e-05,1e-05,pop5
magnumx21267m,0.161142,1e-05,0.029432,1e-05,0.019597,0.789779,1e-05,1e-05,1e-05,pop6
hybrid2,1e-05,1e-05,1e-05,0.282149,1e-05,0.717781,1e-05,1e-05,1e-05,pop6
horizon,1e-05,1e-05,1e-05,1e-05,0.288008,0.711922,1e-05,1e-05,1e-05,pop6
nuggeta,1e-05,1e-05,1e-05,1e-05,1e-05,0.701089,1e-05,1e-05,0.298841,pop6
nugget,1e-05,1e-05,1e-05,1e-05,1e-05,0.687685,1e-05,1e-05,0.312245,pop6
prideofringwood,1e-05,1e-05,1e-05,0.324363,1e-05,0.675567,1e-05,1e-05,1e-05,pop6
hallertauermagnum,1e-05,1e-05,1e-05,1e-05,1e-05,0.625637,0.374293,1e-05,1e-05,pop6
tc8551,0.213435,1e-05,1e-05,1e-05,1e-05,0.483347,1.3e-05,0.303155,1e-05,pop6
tc8555,0.174305,1e-05,1e-05,1e-05,0.063115,0.413885,0.014375,0.33428,1e-05,pop6
easterngreen,0.164341,0.035586,1e-05,0.255259,1e-05,0.411667,1e-05,1e-05,0.133106,pop6
newport,0.024689,0.045054,0.208366,0.053114,0.037123,0.291757,0.06733,1e-05,0.272558,pop6
hallertauertradition,1e-05,1e-05,1e-05,1e-05,0.080434,1e-05,0.764107,1e-05,0.155399,pop7
bobek,1e-05,1e-05,1e-05,0.315688,1e-05,1e-05,0.653837,1e-05,0.030414,pop7
perle,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.643854,1e-05,0.356076,pop7
orion,1e-05,1e-05,1e-05,1e-05,0.013868,1e-05,0.613852,1e-05,0.37222,pop7
hallertauergold,1e-05,1e-05,1e-05,1e-05,0.394041,1e-05,0.605889,1e-05,1e-05,pop7
wyechallenger,1e-05,1e-05,1e-05,1e-05,0.410436,1e-05,0.589494,1e-05,1e-05,pop7
hersbruckerpure,1e-05,1e-05,1e-05,1e-05,0.188275,1e-05,0.572224,1e-05,0.239441,pop7
buket,1e-05,1e-05,1e-05,0.416531,1e-05,1e-05,0.555555,1e-05,0.027854,pop7
wyeviking,1e-05,0.26733,1e-05,0.042065,0.141534,1e-05,0.549021,1e-05,1e-05,pop7
northernbrewer,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.524293,1e-05,0.475637,pop7
vojvodina,1e-05,0.056666,1e-05,0.252206,1.1e-05,1.1e-05,0.510908,1e-05,0.180168,pop7
neoplanta,1e-05,0.034215,1e-05,0.154248,1e-05,1e-05,0.443606,1e-05,0.367882,pop7
pioneer,0.31245,1e-05,1e-05,1e-05,1e-05,1e-05,0.431176,0.256314,1e-05,pop7
spalterselect,1e-05,0.043627,1e-05,0.050663,0.271573,1e-05,0.405996,1e-05,0.2281,pop7
aurora,1e-05,1e-05,1e-05,0.323149,1e-05,1e-05,0.401496,1e-05,0.275295,pop7
scarlet,0.138212,0.045632,0.089132,1e-05,0.030213,1e-05,0.375552,1e-05,0.321229,pop7
wyesaxon,0.136523,0.282138,1e-05,0.076256,0.131388,1e-05,0.373655,1e-05,1e-05,pop7
talisman,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.897881,0.102049,pop8
brewersgolda,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.80589,0.19404,pop8
brewersgold,1e-05,1e-05,1e-05,0.040784,1e-05,1e-05,0.0324,0.78971,0.137056,pop8
olympic,0.025004,1e-05,1e-05,0.116521,1e-05,0.049411,1e-05,0.763111,0.045914,pop8
bullion10a,1e-05,0.165787,0.150977,1e-05,1e-05,1e-05,1e-05,0.683176,1e-05,pop8
banner,1e-05,1e-05,1e-05,1e-05,1e-05,0.142911,1e-05,0.663346,0.193682,pop8
eroicavf,0.072836,1e-05,1e-05,0.084803,1e-05,0.143886,1e-05,0.616393,0.082042,pop8
chelan,1e-05,1e-05,1e-05,1e-05,1e-05,0.383611,1e-05,0.616319,1e-05,pop8
aquila,0.06752,0.323101,1e-05,1e-05,1e-05,1.7e-05,1e-05,0.609312,1e-05,pop8
galena,1e-05,1e-05,1e-05,1e-05,1e-05,0.41329,1e-05,0.58664,1e-05,pop8
kirinii,1e-05,1e-05,0.106121,1e-05,1e-05,1e-05,1e-05,0.550825,0.342994,pop8
centennial,1e-05,1e-05,1e-05,0.327957,1e-05,1e-05,0.130431,0.541552,1e-05,pop8
shinshuwase,1e-05,1e-05,0.133311,1e-05,1e-05,1e-05,1e-05,0.514468,0.352161,pop8
atlas,1e-05,1e-05,1e-05,0.324332,1e-05,0.20639,1e-05,0.469217,1e-05,pop8
canadianredvine,0.123949,1e-05,0.228638,1e-05,0.233907,1e-05,1e-05,0.413456,1e-05,pop8
keyworthmidseason,0.212772,1e-05,0.067807,0.15846,0.219568,1e-05,1e-05,0.341352,1e-05,pop8
bramlingcross,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99992,pop9
canterburygolding,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99992,pop9
eastkentgolding,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99992,pop9
eastwellgolding,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99992,pop9
englishint30,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99992,pop9
sunshine,1e-05,0.089829,1e-05,1e-05,0.020681,1e-05,1e-05,1e-05,0.88943,pop9
earlypromise,1e-05,1e-05,1e-05,0.292235,1e-05,1e-05,1e-05,1e-05,0.707695,pop9
whitbredsgolding,1e-05,0.130766,1e-05,0.222431,0.10668,1e-05,1e-05,1e-05,0.540073,pop9
keyworthearly,0.041036,1e-05,1e-05,1e-05,1e-05,0.125762,0.346154,1e-05,0.486998,pop9
earlyprolific,1e-05,0.162678,1e-05,0.244657,0.114076,1e-05,1e-05,1e-05,0.478539,pop9
chinook,0.21939,1e-05,1e-05,1e-05,1e-05,0.014272,1e-05,0.382117,0.384171,pop9
yeoman,1e-05,1e-05,1e-05,0.19145,0.088407,0.2022,0.185565,1e-05,0.332338,pop9
